12 167
0.258155 0.259185 0
0.276121 0.20894 0.00390625
0.377345 0.941131 0.0078125
0.833402 0.583389 0.0117188
0.821018 0.986832 0.015625
0.352141 0.537561 0.0195312
0.0435721 0.722843 0.0234375
0.634151 0.204956 0.0273438
0.137266 0.934672 0.03125
0.972331 0.365825 0.0351562
0.616706 0.453202 0.0390625
0.989886 0.843013 0.0429688
0.711902 0.799723 0.046875
0.923027 0.178177 0.0507812
0.450918 0.31768 0.0546875
0.462226 0.116374 0.0585938
35 49
0.698861 0.204259 0
0.13653 0.218166 0.00390625
0.538387 0.990852 0.0078125
0.416769 0.597867 0.0117188
0.953191 0.575053 0.015625
0.1701 0.899515 0.0195312
0.882473 0.943798 0.0234375
0.64329 0.817946 0.0273438
0.97568 0.301249 0.03125
0.35087 0.354392 0.0351562
0.192005 0.67417 0.0390625
0.613329 0.435725 0.0429688
0.418877 0.174786 0.046875
0.364683 0.793376 0.0507812
0.280224 0.0350669 0.0546875
0.00875599 0.069493 0.0585938
41 153
0.445305 0.0204249 0
0.647219 0.728334 0.00390625
0.642869 0.212308 0.0078125
0.935364 0.393678 0.0117188
0.0814062 0.953958 0.015625
0.359676 0.565222 0.0195312
0.949116 0.92171 0.0234375
0.397473 0.277738 0.0273438
0.134176 0.698451 0.03125
0.942575 0.671277 0.0351562
0.365105 0.983967 0.0390625
0.762569 0.559275 0.0429688
0.6221 0.958581 0.046875
0.124106 0.272735 0.0507812
0.571079 0.470021 0.0546875
0.364452 0.785763 0.0585938
68 298
0.318338 0.88507 0
0.807132 0.283731 0.00390625
0.226961 0.348545 0.0078125
0.795822 0.609096 0.0117188
0.973135 0.0261805 0.015625
0.597596 0.812955 0.0195312
0.501983 0.193444 0.0234375
0.918234 0.874163 0.0273438
0.193034 0.706844 0.03125
0.567031 0.516685 0.0351562
0.0192794 0.483468 0.0390625
0.322389 0.538309 0.0429688
0.259794 0.131469 0.046875
0.760204 0.000114573 0.0507812
0.0269668 0.750301 0.0546875
0.674601 0.973144 0.0585938
80 130
0.479612 0.562631 0
0.23856 0.190983 0.00390625
0.384153 0.98327 0.0078125
0.8406 0.802071 0.0117188
0.940373 0.342127 0.015625
0.710436 0.173932 0.0195312
0.0925875 0.947893 0.0234375
0.747137 0.556902 0.0273438
0.638529 0.902796 0.03125
0.613937 0.367693 0.0351562
0.191378 0.63836 0.0390625
0.527423 0.113569 0.0429688
0.98019 0.971706 0.046875
0.17591 0.423772 0.0507812
0.0550558 0.148441 0.0546875
0.422766 0.284449 0.0585938
110 72
0.565675 0.42543 0
0.926752 0.846398 0.00390625
0.491317 0.96854 0.0078125
0.965939 0.425728 0.0117188
0.691234 0.119636 0.015625
0.20759 0.675505 0.0195312
0.957421 0.129423 0.0234375
0.333867 0.306664 0.0273438
0.406302 0.766481 0.03125
0.710507 0.73637 0.0351562
0.202744 0.469007 0.0390625
0.76481 0.449335 0.0429688
0.251078 0.981364 0.046875
0.13761 0.258187 0.0507812
0.915205 0.614185 0.0546875
0.623547 0.877602 0.0585938
131 24
0.018254 0.151676 0
0.992625 0.0607477 0.00390625
0.107821 0.860204 0.0078125
0.789107 0.964233 0.0117188
0.921365 0.578179 0.015625
0.593255 0.346974 0.0195312
0.513491 0.0175846 0.0234375
0.199433 0.559954 0.0273438
0.453944 0.918206 0.03125
0.640796 0.66571 0.0351562
0.84585 0.337361 0.0390625
0.250634 0.0347434 0.0429688
0.415503 0.546111 0.046875
0.311587 0.184117 0.0507812
0.043621 0.394654 0.0546875
0.426201 0.743417 0.0585938
143 318
0.757474 0.718472 0
0.203337 0.920214 0.00390625
0.538514 0.466189 0.0078125
0.114124 0.346987 0.0117188
0.88552 0.218936 0.015625
0.480137 0.0940651 0.0195312
0.349018 0.614985 0.0234375
0.0272986 0.715333 0.0273438
0.982904 0.918801 0.03125
0.624681 0.993922 0.0351562
0.511745 0.788711 0.0390625
0.351079 0.260457 0.0429688
0.947298 0.6182 0.046875
0.662861 0.307891 0.0507812
0.183492 0.142641 0.0546875
0.801132 0.499945 0.0585938
161 3
0.10021 0.941762 0
0.483945 0.649817 0.00390625
0.531452 0.172584 0.0078125
0.87272 0.989431 0.0117188
0.99418 0.465341 0.015625
0.236469 0.232035 0.0195312
0.705235 0.440852 0.0234375
0.427336 0.919512 0.0273438
0.958813 0.694239 0.03125
0.672317 0.870084 0.0351562
0.305903 0.47899 0.0390625
0.218801 0.71903 0.0429688
0.0187782 0.228578 0.046875
0.773152 0.260406 0.0507812
0.158824 0.437144 0.0546875
0.540165 0.791494 0.0585938
197 269
0.0823182 0.861752 0
0.719236 0.136131 0.00390625
0.97673 0.556077 0.0078125
0.423958 0.584483 0.0117188
0.745167 0.930084 0.015625
0.333996 0.995336 0.0195312
0.980122 0.228617 0.0234375
0.578018 0.317019 0.0273438
0.713574 0.628592 0.03125
0.221099 0.667259 0.0351562
0.327054 0.321731 0.0390625
0.99242 0.834641 0.0429688
0.152139 0.395249 0.046875
0.471129 0.826792 0.0507812
0.217855 0.127069 0.0546875
0.516636 0.0429286 0.0585938
218 280
0.710189 0.500599 0
0.544011 0.79126 0.00390625
0.250183 0.300943 0.0078125
0.983973 0.163548 0.0117188
0.123469 0.70263 0.015625
0.991341 0.790317 0.0195312
0.628108 0.225971 0.0234375
0.0148234 0.445789 0.0273438
0.399845 0.55791 0.03125
0.371135 0.0738607 0.0351562
0.346511 0.923391 0.0390625
0.704432 0.967478 0.0429688
0.953811 0.474382 0.046875
0.147044 0.0785326 0.0507812
0.101182 0.982757 0.0546875
0.796979 0.702001 0.0585938
224 85
0.917276 0.43993 0
0.96051 0.821553 0.00390625
0.485861 0.28905 0.0078125
0.556807 0.804402 0.0117188
0.354773 0.598638 0.015625
0.990673 0.105386 0.0195312
0.235607 0.366707 0.0234375
0.651809 0.0886514 0.0273438
0.292918 0.852614 0.03125
0.805568 0.61108 0.0351562
0.328046 0.094247 0.0390625
0.58083 0.561648 0.0429688
0.119754 0.570548 0.046875
0.0597889 0.330527 0.0507812
0.775242 0.956757 0.0546875
0.990229 0.991346 0.0585938
